name;lat;lon;value
Pforzheim-Ispringen;48,93291;8,69727;1,8
Polsingen-Döckingen;48,93431;10,758555;0,5
Gelbelsee;48,948116;11,428929;1,8
Riedenburg;48,955686;11,727778;2,4
Sachsenheim;48,95688;9,071052;1,3
Mühlacker;48,972073;8,873462;2,3
Rheinstetten;48,972627;8,330081;6
Ellwangen-Rindelbach;48,989494;10,131236;6,5
Sankt Englmar;49,002889;12,823688;1,9
Weißenburg-Emetzheim;49,01153;10,930837;1,6
Großerlach-Mannenweiler;49,021043;9,603252;10,7
Zwiesel;49,028013;13,238509;1,8
Wiesenfelden-Utzenzell;49,032019;12,550537;1,8
Regensburg;49,042482;12,101943;2,1
Dinkelsbühl-Oberwinstetten;49,050355;10,289244;5,8
Thalmässing;49,087068;11,223648;1,8
Beratzhausen;49,102229;11,795992;3,2
Bergzabern, Bad;49,107025;7,996749;12,6
Prackenbach-Neuhäusl;49,108809;12,823114;1,8
Berching;49,111587;11,432949;2,4
Bruchsal-Heidelsheim;49,112726;8,637225;3,9
Großer Arber;49,112887;13,133791;0
Obersulm-Willsbach;49,128011;9,352493;4,5
Wüstenrot-Oberheimbach;49,12951;9,494478;6,1
Parsberg/Oberpfalz-Eglwang;49,15102;11,689638;2,5
Rülzheim;49,16088;8,300934;7,2
Feuchtwangen-Heilbronn;49,162297;10,366126;5,4
Schorndorf-Knöbling;49,16435;12,617494;0,9
Nittenau-Harting;49,165767;12,278799;1,4
Eppingen-Elsenz;49,166069;8,848331;4,6
Kirchberg/Jagst-Herboldshausen;49,180406;9,979985;5,7
Haundorf-Obererlbach;49,183955;10,824304;1,5
Pirmasens;49,191191;7,5879;12,7
Georgensgmünd;49,19343;11,026699;1,6
Öhringen;49,207016;9,517582;6,4
Saarbrücken-Ensheim;49,212782;7,107653;13
Lam-Lambach;49,215374;13,066221;1
Roth;49,216232;11,103514;1,7
Weidenbach-Weiherschneidbach;49,224877;10,608471;2,3
Saarbrücken-Burbach;49,240557;6,935134;12,9
Roding-Neubäu;49,241248;12,412489;0,7
Kupferzell-Rechbach;49,242842;9,67859;7,1
Berus;49,264058;6,686776;16,4
Schmidmühlen;49,280634;11,913996;3,3
Waibstadt;49,294262;8,905286;9
Rohr/Mittelfranken-Dechendorf;49,308214;10,918333;2,5
Homburg/Saar;49,327792;7,353336;14,3
Schwandorf;49,327835;12,087053;1,9
Ingelfingen-Stachenhausen;49,33275;9,704008;5,5
Weihenzell-Grüb;49,33757;10,60599;3,1
Wendelstein-Kleinschwarzenlohe;49,34252;11,107672;2,3
Neunkirchen-Wellesweiler;49,343983;7,229738;19,2
Trippstadt-Neuhof;49,354424;7,794751;15
Kastl, Kreis Amberg-Sulzbach;49,365825;11,692529;5,3
Weinbiet;49,375801;8,121233;5,8
Heidelberg-Kurpfalzhof;49,376654;8,617704;6,4
Rothenburg ob der Tauber;49,384854;10,173232;3,4
Waldmünchen;49,390952;12,683802;0,3
Neckargemünd-Kleingemünd;49,394491;8,804528;18,4
Altendorf;49,405261;12,285162;0,8
Schmidgaden;49,411632;12,076027;1,4
Schmelz-Hüttersdorf;49,414918;6,836007;19,5
Dietenhofen;49,41584;10,673442;3,7
Seckach;49,424907;9,331558;16
Elztal-Rittersbach;49,425133;9,242957;18,8
Nürnberg-Netzstall;49,425771;11,253851;3,9
Kaiserslautern;49,426213;7,755714;11,3
Oberviechtach;49,452096;12,436546;1
Burgbernheim;49,45493;10,32406;3,1
Merzig;49,45662;6,626599;15,4
Henschtal;49,464808;7,411082;15,3
Amberg-Unterammersricht;49,469061;11,854626;2,3
Dürkheim, Bad;49,471913;8,192896;3,8
Tholey;49,473721;7,038522;22,8
Pommelsbrunn-Mittelburg;49,477723;11,535701;4,3
Markt Erlbach-Hagenhofen;49,4875;10,6277;3,8
Nürnberg;49,503031;11,054923;2,7
Mannheim;49,506251;8,558439;7,4
Langenzenn;49,50758;10,788474;4,4
Buchen, Kr. Neckar-Odenwald;49,518188;9,321293;14,9
Schönsee-Dietersdorf;49,527338;12,570533;1
Trausnitz-Reisach;49,532132;12,279805;0,8
Simmershofen-Adelhofen;49,533376;10,154603;2,3
Perl-Nennig;49,535353;6,378874;9,9
Lauda-Königshofen-Heckfeld;49,552228;9,634495;6,7
Weiskirchen/Saar;49,553365;6,811951;24,2
Nohfelden-Gonnesweiler;49,556788;7,071557;21,5
Oberzent-Beerfelden;49,561729;8,967329;23,8
Grünstadt;49,566492;8,17797;3,2
Birkenau;49,568553;8,701319;21,2
Freihung-Großschönbrunn;49,574739;11,885901;2,8
Worms;49,605078;8,365906;5,1
Bütthard;49,606254;9,88342;2,1
Waidhaus-Pfrentsch;49,61803;12,489486;0,4
Königheim;49,62055;9,603587;3,9
Ruppertsecken;49,646838;7,883741;6,3
Plech;49,648967;11,468533;8
Möhrendorf-Kleinseebach;49,649749;11,007464;2,5
Gräfenberg-Kasberg;49,66399;11,223886;4
Markt Bibart;49,66597;10,385074;4,3
Weiden;49,666221;12,184448;0,5
Michelstadt;49,669151;9,008528;21,6
Bayerfeld-Steckweiler -Schmalfelderhof;49,695666;7,838697;4,1
Lautertal/Odenwald-Reichenbach;49,709003;8,690797;20,1
Michelstadt-Vielbrunn;49,717686;9,099716;15,3
Alzey;49,7273;8,116356;4,4
Altertheim-Oberaltertheim;49,728385;9,769204;3,8
Flossenbürg;49,731639;12,348947;0,4
Trier-Zewen;49,732632;6,613147;10,8
Kitzingen;49,736318;10,178126;3,9
Trier-Petrisberg;49,747891;6,658305;11,2
Deuselbach;49,761881;7,054245;12,4
Freudenberg/Main-Boxtal;49,763628;9,406294;7,5
Röllbach;49,764399;9,253038;10,5
Gößweinstein;49,765641;11,306236;4,1
Würzburg;49,770378;9,957627;4,9
Pressath-Mühlberg;49,784426;12,03309;1,9
Kirn;49,789016;7,485275;5,6
Newel;49,813491;6,585668;10,8
Neustadt am Kulm-Filchendorf;49,817404;11,863829;2,2
Otzberg-Habitzheim;49,836621;8,880568;13,5
Creußen-Bühl;49,844859;11,616042;4,1
Kreuznach, Bad;49,850173;7,871018;5,4
Ebrach;49,851954;10,499124;5
Prosselsheim-Seligenstadt;49,852643;10,100557;3,5
Tirschenreuth-Lodermühl;49,857617;12,354218;0,8
Hahnheim;49,86258;8,231085;6,3
Speichersdorf;49,871305;11,788329;1,8
Bamberg;49,874252;10,920558;3,3
Darmstadt;49,880895;8,677906;19,1
Aufseß-Hochstahl;49,882337;11,265587;3,9
Groß-Gerau-Wallerstädten;49,905232;8,445949;13,9
Mähring;49,911341;12,527552;0,8
Kolitzheim;49,916399;10,236273;2,8
Schaafheim-Schlierbach;49,919503;8,967164;13,5
Waldershof-Schafbruck;49,935992;12,093472;4
Olsdorf;49,944479;6,38211;10,3
Hahn;49,946281;7,264495;8,6
Scheßlitz-Köttensdorf;49,956;11,018917;2,8
Wittlich;49,961731;6,928746;7,8
Heinersreuth-Vollhof;49,966617;11,519843;2,4
Arnstein-Müdesheim;49,969403;9,911391;3,8
Fichtelberg/Oberfranken-Hüttstadl;49,980702;11,837601;4,3
Rödermark-Ober-Roden;49,983205;8,839542;16,8
Thurnau-Tannfeld;49,984179;11,400763;2,9
Geisenheim;49,985894;7,95482;4,7
Simmern-Wahlbach;49,99959;7,59812;5,3
Raunheim;50,005626;8,429069;15
Neuhütten/Spessart;50,008293;9,423765;16,1
Lohr/Main-Halsbach;50,0132;9,654033;9,7
Frankfurt/Main;50,025911;8,521294;19,2
Wunsiedel-Schönbrunn;50,031507;11,974501;5,2
Blankenrath;50,037229;7,307861;9,3
Wiesbaden-Biebrich;50,042119;8,233134;14,3
Rüdesheim-Presberg;50,05166;7,88755;4,2
Schonungen-Mainberg;50,05794;10,297205;3,2
